timestamp,user_id,alert_type,severity,description,source_ip,username,resource,event_details
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:45:04.597885+00:00,,Authentication,Medium,After-hours login for user U0071,172.23.254.23,U0071,Login System,Login at 2025-05-07 04:45:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:43:04.607476+00:00,,Authentication,Medium,After-hours login for user U0063,10.73.93.98,U0063,Login System,Login at 2025-05-07 04:43:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:42:04.598277+00:00,,Authentication,Medium,After-hours login for user U0069,172.26.117.156,U0069,Login System,Login at 2025-05-07 04:42:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:32:04.589896+00:00,,Authentication,Medium,After-hours login for user U0045,192.168.196.210,U0045,Login System,Login at 2025-05-07 04:32:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:29:04.595683+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.233.171,U0093,Login System,Login at 2025-05-07 04:29:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
2025-05-07 04:18:04.600084+00:00,,Authentication,Medium,After-hours login for user U0093,192.168.146.31,U0093,Login System,Login at 2025-05-07 04:18:04
